steps,pgs_mean,pgs_std,vun
119,0.9942169586817423,0.0010116539356679693,
209,0.9950109720230103,0.0029974913263305356,
299,0.9944276809692383,0.0018193930189729958,
419,0.9919880429903666,0.0052753334585217086,
509,0.9927620887756348,0.0038931010837278735,
1019,0.9903636376063029,0.0006147292230951264,
1499,0.9933921893437704,0.002712208657428192,
2009,0.9920488198598226,0.003354768075931469,
2519,0.9876294732093811,0.007556840027169075,
2999,0.9943509499231974,0.0019911277874813016,
3479,0.9910812775293986,0.004980053361214584,
